Modulation:;Orders:;Amplitudes:;Input size:;SNR:;BER [%]:
APSK;(8, 8);(1.0, 2.0);12000;1.8;17.75
ASK;8;1.0;12000;1.9;9.61
PSK;8;1.0;12000;1.9;17.07
APSK;(8, 8);(1.0, 2.0);12000;1.9;17.15
ASK;8;1.0;12000;2.0;9.34
PSK;8;1.0;12000;2.0;16.48
APSK;(8, 8);(1.0, 2.0);12000;2.0;16.48
ASK;4;2.0;12000;0.1;28.96
PSK;4;2.0;12000;0.1;26.26
APSK;(4, 4);(2.0, 4.0);12000;0.1;27.82
ASK;4;2.0;12000;0.2;21.19
PSK;4;2.0;12000;0.2;18.55
APSK;(4, 4);(2.0, 4.0);12000;0.2;19.17
ASK;4;2.0;12000;0.3;16.97
PSK;4;2.0;12000;0.3;13.65
APSK;(4, 4);(2.0, 4.0);12000;0.3;14.33
ASK;4;2.0;12000;0.4;14.01
PSK;4;2.0;12000;0.4;10.33
APSK;(4, 4);(2.0, 4.0);12000;0.4;11.43
ASK;4;2.0;12000;0.5;11.91
PSK;4;2.0;12000;0.5;7.83
APSK;(4, 4);(2.0, 4.0);12000;0.5;9.06
ASK;4;2.0;12000;0.6;10.28
PSK;4;2.0;12000;0.6;6.11
APSK;(4, 4);(2.0, 4.0);12000;0.6;7.44
ASK;4;2.0;12000;0.7;8.88
PSK;4;2.0;12000;0.7;4.76
APSK;(4, 4);(2.0, 4.0);12000;0.7;6.3
ASK;4;2.0;12000;0.8;7.69
PSK;4;2.0;12000;0.8;3.67
APSK;(4, 4);(2.0, 4.0);12000;0.8;5.25
ASK;4;2.0;12000;0.9;6.68
PSK;4;2.0;12000;0.9;2.88
APSK;(4, 4);(2.0, 4.0);12000;0.9;4.46
ASK;4;2.0;12000;1.0;5.91
PSK;4;2.0;12000;1.0;2.28
APSK;(4, 4);(2.0, 4.0);12000;1.0;3.75
ASK;4;2.0;12000;1.1;5.16
PSK;4;2.0;12000;1.1;1.81
APSK;(4, 4);(2.0, 4.0);12000;1.1;3.15
ASK;4;2.0;12000;1.2;4.57
PSK;4;2.0;12000;1.2;1.43
APSK;(4, 4);(2.0, 4.0);12000;1.2;2.7
ASK;4;2.0;12000;1.3;4.02
PSK;4;2.0;12000;1.3;1.14
APSK;(4, 4);(2.0, 4.0);12000;1.3;2.33
ASK;4;2.0;12000;1.4;3.55
PSK;4;2.0;12000;1.4;0.89
APSK;(4, 4);(2.0, 4.0);12000;1.4;2.0
ASK;4;2.0;12000;1.5;3.13
PSK;4;2.0;12000;1.5;0.72
APSK;(4, 4);(2.0, 4.0);12000;1.5;1.75
ASK;4;2.0;12000;1.6;2.74
PSK;4;2.0;12000;1.6;0.57
APSK;(4, 4);(2.0, 4.0);12000;1.6;1.52
ASK;4;2.0;12000;1.7;2.46
PSK;4;2.0;12000;1.7;0.46
APSK;(4, 4);(2.0, 4.0);12000;1.7;1.31
ASK;4;2.0;12000;1.8;2.19
PSK;4;2.0;12000;1.8;0.35
APSK;(4, 4);(2.0, 4.0);12000;1.8;1.14
ASK;4;2.0;12000;1.9;1.94
